                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5462,                 2.8061,                 1.6368,                 0.4167,                0.41789,                0.32794,                0.17779,                 1.3871,                 3.8084,                 1.5644,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4814,                 2.2422,                 1.5694,                0.28588,                0.36632,                0.21974,                0.08135,                 1.9648,                 5.1917,                 2.4208,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.6029,                 2.1373,                  1.655,                0.37586,                0.34737,                0.30245,                0.13935,                 1.9008,                 2.5969,                 2.0437,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.5568,                 1.8929,                 1.6185,                0.38385,                   0.42,                 0.2895,                0.12858,                   1.84,                 2.8893,                 2.1366,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5974,                 1.7344,                  1.603,                0.41591,                   0.48,                0.35702,                0.16756,                 1.6592,                 2.2906,                 1.8057,              0.0018812,              0.0018812,              0.0018812
                      6,                  1.491,                 1.6519,                  1.579,                0.59196,                0.49053,                0.52367,                0.26101,                 1.6145,                   1.96,                 1.8325,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.453,                 1.5702,                 1.5257,                 0.4942,                0.61093,                0.51562,                0.25392,                 1.5178,                 1.8688,                 1.7064,               0.001802,               0.001802,               0.001802
                      8,                 1.4294,                 1.4841,                 1.5223,                0.65676,                0.62842,                0.71711,                0.41647,                 1.4239,                 1.5735,                  1.589,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4307,                 1.4192,                 1.5005,                0.64854,                0.67053,                0.65116,                0.37583,                 1.3254,                  1.522,                 1.5164,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4302,                 1.4863,                 1.5147,                0.77472,                0.74421,                  0.783,                0.44195,                 1.3755,                 1.2557,                  1.531,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3732,                 1.3819,                   1.45,                0.70467,                0.70578,                0.75739,                0.45704,                 1.3169,                 1.3138,                 1.4803,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.3674,                 1.3617,                 1.4498,                 0.7654,                   0.64,                0.72519,                 0.4198,                  1.396,                 1.4769,                 1.5441,               0.001604,               0.001604,               0.001604
